iter	Logloss
0	0.6611655374
1	0.6364720461
2	0.614134547
3	0.5946234035
4	0.5769810155
5	0.5609254
6	0.5468341203
7	0.5345860998
8	0.523054226
9	0.5126534587
10	0.5026060984
11	0.4929110597
12	0.4843227649
13	0.4755654443
14	0.4674609304
15	0.4593021063
16	0.4514823812
17	0.4445432206
18	0.4384587169
19	0.4320044807
20	0.4255326297
21	0.4198070578
22	0.4146911025
23	0.4098889285
24	0.4052732718
25	0.40036147
26	0.3959302893
27	0.3915880349
28	0.3872893642
29	0.383067868
30	0.3788905278
31	0.3749347126
32	0.3712208417
33	0.3676961228
34	0.3641438155
35	0.3605212834
36	0.3570714209
37	0.3539014765
38	0.3508797356
39	0.3478215905
40	0.3449089765
41	0.341633593
42	0.3389342646
43	0.3362641672
44	0.3338520511
45	0.3312142297
46	0.3287458386
47	0.3262506746
48	0.3234838661
49	0.3211747257
50	0.3188980576
51	0.3167256787
52	0.3144158386
53	0.3122486927
54	0.3099873508
55	0.3075356932
56	0.3054532912
57	0.3034796157
58	0.3013029761
59	0.2994690347
60	0.2975868208
61	0.2958206685
62	0.2939778101
63	0.2920537845
64	0.2903779525
65	0.2887720401
66	0.2867196307
67	0.2848920116
68	0.2830920119
69	0.2814084785
70	0.2797722209
71	0.2781037602
72	0.2764716817
73	0.2748564537
74	0.2733506395
75	0.2716613531
76	0.2702185864
77	0.2687646372
78	0.2672692407
79	0.2659629678
80	0.2645565704
81	0.262971445
82	0.2615249424
83	0.2601469787
84	0.2587222951
85	0.2574140899
86	0.2559658335
87	0.254704641
88	0.2534958751
89	0.252297356
90	0.2508631473
91	0.2496262962
92	0.2484047954
93	0.2471073765
94	0.2458097489
95	0.2445364204
96	0.2433048053
97	0.2420428301
98	0.2407477227
99	0.2395800233
100	0.2383072851
101	0.2371530385
102	0.2359242929
103	0.2347481947
104	0.2335230522
105	0.2323275135
106	0.231167717
107	0.2300014604
108	0.228795131
109	0.227649037
110	0.2264421961
111	0.2253025756
112	0.2242232344
113	0.2231157833
114	0.2220730975
115	0.2208647338
116	0.2197459436
117	0.2186451981
118	0.2175289952
119	0.2164414459
120	0.2152627871
121	0.214219393
122	0.2131003999
123	0.2120015278
124	0.21095634
125	0.2098478078
126	0.2088270463
127	0.2078043399
128	0.2067578753
129	0.2057151027
130	0.2046848461
131	0.2036555054
132	0.2026829032
133	0.2017010207
134	0.2007284982
135	0.1997538643
136	0.1988124943
137	0.1977574743
138	0.1967568051
139	0.1957364869
140	0.1948174531
141	0.1938780641
142	0.1929701218
143	0.1920720927
144	0.1912023653
145	0.1902798621
146	0.1893582063
147	0.1885230182
148	0.1876982857
149	0.1868514913
150	0.1859655155
151	0.1851315166
152	0.1843063267
153	0.1834506112
154	0.1826061186
155	0.1817810659
156	0.1809828437
157	0.1801497096
158	0.1793512293
159	0.178557477
160	0.1777645099
161	0.1769908571
162	0.1762530738
163	0.1755000501
164	0.1746945417
165	0.1739562783
166	0.1731811079
167	0.1724233768
168	0.1716202807
169	0.1708481021
170	0.1701060662
171	0.1694027223
172	0.1686809594
173	0.167981755
174	0.1672826432
175	0.1665523779
176	0.1658769169
177	0.1651462741
178	0.1644407514
179	0.163749596
180	0.163092739
181	0.1623947168
182	0.1617144519
183	0.1610491871
184	0.160364648
185	0.1596901252
186	0.1590493638
187	0.1583926718
188	0.157703764
189	0.1570678211
190	0.1564227512
191	0.1558069944
192	0.1551659769
193	0.1545233019
194	0.1538405807
195	0.1531959123
196	0.15255113
197	0.1519218456
198	0.1512876571
199	0.1506472614
